miRNA
hsa-mir-107
hsa-mir-1179
hsa-mir-1181
hsa-mir-1182
hsa-mir-1183
hsa-mir-1193
hsa-mir-1197
hsa-mir-1200
hsa-mir-1202
hsa-mir-1203
hsa-mir-1204
hsa-mir-1205
hsa-mir-1206
hsa-mir-1231
hsa-mir-1243
hsa-mir-1245a
hsa-mir-1246
hsa-mir-1248
hsa-mir-1253
hsa-mir-1255a
hsa-mir-1256
hsa-mir-1257
hsa-mir-1258
hsa-mir-1260a
hsa-mir-1260b
hsa-mir-1261
hsa-mir-1262
hsa-mir-1263
hsa-mir-1264
hsa-mir-1265
hsa-mir-1267
hsa-mir-1268a
hsa-mir-1268b
hsa-mir-1269a
hsa-mir-1269b
hsa-mir-1270
hsa-mir-1272
hsa-mir-1273a
hsa-mir-1273c
hsa-mir-1273d
hsa-mir-1273f
hsa-mir-1275
hsa-mir-1276
hsa-mir-1278
hsa-mir-1281
hsa-mir-1282
hsa-mir-1284
hsa-mir-1286
hsa-mir-1290
hsa-mir-1291
hsa-mir-1293
hsa-mir-1294
hsa-mir-1295a
hsa-mir-1297
hsa-mir-1299
hsa-mir-1303
hsa-mir-1305
hsa-mir-1321
hsa-mir-1322
hsa-mir-1323
hsa-mir-1324
hsa-mir-133b
hsa-mir-137
hsa-mir-1469
hsa-mir-1470
hsa-mir-1471
hsa-mir-147a
hsa-mir-147b
hsa-mir-151b
hsa-mir-1538
hsa-mir-1539
hsa-mir-1587
hsa-mir-1825
hsa-mir-1827
hsa-mir-184
hsa-mir-190b
hsa-mir-1912
hsa-mir-1913
hsa-mir-1973
hsa-mir-1976
hsa-mir-198
hsa-mir-2052
hsa-mir-2053
hsa-mir-206
hsa-mir-2110
hsa-mir-2113
hsa-mir-2117
hsa-mir-217
hsa-mir-2278
hsa-mir-2392
hsa-mir-23c
hsa-mir-2861
hsa-mir-2909
hsa-mir-298
hsa-mir-300
hsa-mir-302e
hsa-mir-302f
hsa-mir-3115
hsa-mir-3122
hsa-mir-3123
hsa-mir-3125
hsa-mir-3128
hsa-mir-3131
hsa-mir-3132
hsa-mir-3133
hsa-mir-3134
hsa-mir-3135a
hsa-mir-3135b
hsa-mir-3137
hsa-mir-3138
hsa-mir-3139
hsa-mir-3141
hsa-mir-3142
hsa-mir-3143
hsa-mir-3146
hsa-mir-3147
hsa-mir-3148
hsa-mir-3149
hsa-mir-3153
hsa-mir-3154
hsa-mir-3155a
hsa-mir-3155b
hsa-mir-3159
hsa-mir-3161
hsa-mir-3163
hsa-mir-3164
hsa-mir-3165
hsa-mir-3166
hsa-mir-3167
hsa-mir-3168
hsa-mir-3169
hsa-mir-3170
hsa-mir-3171
hsa-mir-3174
hsa-mir-3175
hsa-mir-3176
hsa-mir-3178
hsa-mir-3181
hsa-mir-3182
hsa-mir-3183
hsa-mir-3185
hsa-mir-3188
hsa-mir-3193
hsa-mir-3195
hsa-mir-3196
hsa-mir-3197
hsa-mir-3201
hsa-mir-320a
hsa-mir-320e
hsa-mir-325
hsa-mir-326
hsa-mir-346
hsa-mir-3609
hsa-mir-3610
hsa-mir-3611
hsa-mir-3612
hsa-mir-3615
hsa-mir-3618
hsa-mir-3621
hsa-mir-3646
hsa-mir-3649
hsa-mir-3650
hsa-mir-3651
hsa-mir-3652
hsa-mir-3654
hsa-mir-3655
hsa-mir-3656
hsa-mir-3657
hsa-mir-3658
hsa-mir-3659
hsa-mir-3660
hsa-mir-3661
hsa-mir-3662
hsa-mir-3665
hsa-mir-3666
hsa-mir-3668
hsa-mir-3671
hsa-mir-3672
hsa-mir-3674
hsa-mir-3683
hsa-mir-3684
hsa-mir-3685
hsa-mir-3686
hsa-mir-3689c
hsa-mir-3689e
hsa-mir-3689f
hsa-mir-3713
hsa-mir-3714
hsa-mir-375
hsa-mir-378b
hsa-mir-378c
hsa-mir-378e
hsa-mir-378f
hsa-mir-378g
hsa-mir-378h
hsa-mir-378i
hsa-mir-378j
hsa-mir-384
hsa-mir-3907
hsa-mir-3908
hsa-mir-3909
hsa-mir-3911
hsa-mir-3915
hsa-mir-3916
hsa-mir-3917
hsa-mir-3918
hsa-mir-3919
hsa-mir-3920
hsa-mir-3921
hsa-mir-3923
hsa-mir-3924
hsa-mir-3929
hsa-mir-3935
hsa-mir-3936
hsa-mir-3937
hsa-mir-3938
hsa-mir-3939
hsa-mir-3941
hsa-mir-3943
hsa-mir-3945
hsa-mir-3960
hsa-mir-3972
hsa-mir-3973
hsa-mir-3974
hsa-mir-3975
hsa-mir-3976
hsa-mir-3978
hsa-mir-421
hsa-mir-422a
hsa-mir-4251
hsa-mir-4252
hsa-mir-4253
hsa-mir-4254
hsa-mir-4256
hsa-mir-4257
hsa-mir-4258
hsa-mir-4259
hsa-mir-4260
hsa-mir-4261
hsa-mir-4262
hsa-mir-4263
hsa-mir-4264
hsa-mir-4265
hsa-mir-4266
hsa-mir-4267
hsa-mir-4268
hsa-mir-4269
hsa-mir-4270
hsa-mir-4271
hsa-mir-4273
hsa-mir-4274
hsa-mir-4275
hsa-mir-4276
hsa-mir-4277
hsa-mir-4278
hsa-mir-4279
hsa-mir-4280
hsa-mir-4281
hsa-mir-4282
hsa-mir-4284
hsa-mir-4285
hsa-mir-4286
hsa-mir-4287
hsa-mir-4288
hsa-mir-4289
hsa-mir-429
hsa-mir-4290
hsa-mir-4292
hsa-mir-4293
hsa-mir-4294
hsa-mir-4295
hsa-mir-4296
hsa-mir-4297
hsa-mir-4298
hsa-mir-4299
hsa-mir-4300
hsa-mir-4301
hsa-mir-4302
hsa-mir-4304
hsa-mir-4305
hsa-mir-4306
hsa-mir-4308
hsa-mir-4309
hsa-mir-4310
hsa-mir-4311
hsa-mir-4312
hsa-mir-4313
hsa-mir-4314
hsa-mir-4316
hsa-mir-4317
hsa-mir-4318
hsa-mir-4320
hsa-mir-4321
hsa-mir-4322
hsa-mir-4323
hsa-mir-4324
hsa-mir-4325
hsa-mir-4326
hsa-mir-4327
hsa-mir-4328
hsa-mir-4329
hsa-mir-4330
hsa-mir-4417
hsa-mir-4418
hsa-mir-4419a
hsa-mir-4419b
hsa-mir-4420
hsa-mir-4421
hsa-mir-4422
hsa-mir-4424
hsa-mir-4425
hsa-mir-4426
hsa-mir-4427
hsa-mir-4428
hsa-mir-4429
hsa-mir-4430
hsa-mir-4431
hsa-mir-4432
hsa-mir-4434
hsa-mir-4436a
hsa-mir-4437
hsa-mir-4438
hsa-mir-4439
hsa-mir-4440
hsa-mir-4441
hsa-mir-4442
hsa-mir-4443
hsa-mir-4447
hsa-mir-4448
hsa-mir-4449
hsa-mir-4450
hsa-mir-4451
hsa-mir-4452
hsa-mir-4453
hsa-mir-4454
hsa-mir-4455
hsa-mir-4456
hsa-mir-4457
hsa-mir-4458
hsa-mir-4459
hsa-mir-4460
hsa-mir-4461
hsa-mir-4462
hsa-mir-4463
hsa-mir-4464
hsa-mir-4465
hsa-mir-4466
hsa-mir-4467
hsa-mir-4468
hsa-mir-4469
hsa-mir-4470
hsa-mir-4471
hsa-mir-4473
hsa-mir-4475
hsa-mir-4476
hsa-mir-4477a
hsa-mir-4477b
hsa-mir-4478
hsa-mir-4479
hsa-mir-448
hsa-mir-4480
hsa-mir-4481
hsa-mir-4483
hsa-mir-4484
hsa-mir-4486
hsa-mir-4487
hsa-mir-4488
hsa-mir-4489
hsa-mir-4490
hsa-mir-4491
hsa-mir-4492
hsa-mir-4493
hsa-mir-4494
hsa-mir-4495
hsa-mir-4496
hsa-mir-4497
hsa-mir-4498
hsa-mir-4499
hsa-mir-449a
